make-ice-cubes.py,forge-key.py
forge-key.py,inclined-plane.py
use-bandage.py,clean-energy.py
blood-type.py,inclined-plane.py
make-ice-cubes.py,refrigerate-food.py
thermometer.py,make-campfire.py
bird-life-cycle.py,take-photo.py
bird-life-cycle.py,metal-detector.py
metal-detector.py,refrigerate-food.py
dishwasher.py,balance-scale-weigh.py
make-ice-cubes.py,clean-energy.py
metal-detector.py,refrigerate-food.py
balance-scale-weigh.py,make-campfire.py
volume-container.py,bird-life-cycle.py
sweep-floor.py,wash-clothes.py
thermometer.py,refrigerate-food.py
